Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value
"QC","Crops","5101","Eastern Africa","5419","Yield","661","Cocoa, beans","1961","1961","hg/ha","2924"
"QC","Crops","5101","Eastern Africa","5419","Yield","661","Cocoa, beans","1962","1962","hg/ha","2211"
"QC","Crops","5101","Eastern Africa","5419","Yield","661","Cocoa, beans","1963","1963","hg/ha","1716"
"QC","Crops","5101","Eastern Africa","5419","Yield","661","Cocoa, beans","1964","1964","hg/ha","1879"
"QC","Crops","5101","Eastern Africa","5419","Yield","661","Cocoa, beans","1965","1965","hg/ha","1896"
"QC","Crops","5101","Eastern Africa","5419","Yield","661","Cocoa, beans","1966","1966","hg/ha","2037"
"QC","Crops","5101","Eastern Africa","5419","Yield","661","Cocoa, beans","1967","1967","hg/ha","2304"
"QC","Crops","5101","Eastern Africa","5419","Yield","661","Cocoa, beans","1968","1968","hg/ha","2515"
"QC","Crops","5101","Eastern Africa","5419","Yield","661","Cocoa, beans","1969","1969","hg/ha","2643"
"QC","Crops","5101","Eastern Africa","5419","Yield","661","Cocoa, beans","1970","1970","hg/ha","2858"
"QC","Crops","5101","Eastern Africa","5419","Yield","661","Cocoa, beans","1971","1971","hg/ha","2698"
"QC","Crops","5101","Eastern Africa","5419","Yield","661","Cocoa, beans","1972","1972","hg/ha","3349"
"QC","Crops","5101","Eastern Africa","5419","Yield","661","Cocoa, beans","1973","1973","hg/ha","3332"
"QC","Crops","5101","Eastern Africa","5419","Yield","661","Cocoa, beans","1974","1974","hg/ha","3582"
"QC","Crops","5101","Eastern Africa","5419","Yield","661","Cocoa, beans","1975","1975","hg/ha","3349"
"QC","Crops","5101","Eastern Africa","5419","Yield","661","Cocoa, beans","1976","1976","hg/ha","3557"
"QC","Crops","5101","Eastern Africa","5419","Yield","661","Cocoa, beans","1977","1977","hg/ha","3123"
"QC","Crops","5101","Eastern Africa","5419","Yield","661","Cocoa, beans","1978","1978","hg/ha","3409"
"QC","Crops","5101","Eastern Africa","5419","Yield","661","Cocoa, beans","1979","1979","hg/ha","3125"
"QC","Crops","5101","Eastern Africa","5419","Yield","661","Cocoa, beans","1980","1980","hg/ha","2961"
"QC","Crops","5101","Eastern Africa","5419","Yield","661","Cocoa, beans","1981","1981","hg/ha","3058"
"QC","Crops","5101","Eastern Africa","5419","Yield","661","Cocoa, beans","1982","1982","hg/ha","3202"
"QC","Crops","5101","Eastern Africa","5419","Yield","661","Cocoa, beans","1983","1983","hg/ha","3337"
"QC","Crops","5101","Eastern Africa","5419","Yield","661","Cocoa, beans","1984","1984","hg/ha","4591"
"QC","Crops","5101","Eastern Africa","5419","Yield","661","Cocoa, beans","1985","1985","hg/ha","3108"
"QC","Crops","5101","Eastern Africa","5419","Yield","661","Cocoa, beans","1986","1986","hg/ha","3298"
"QC","Crops","5101","Eastern Africa","5419","Yield","661","Cocoa, beans","1987","1987","hg/ha","4207"
"QC","Crops","5101","Eastern Africa","5419","Yield","661","Cocoa, beans","1988","1988","hg/ha","4394"
"QC","Crops","5101","Eastern Africa","5419","Yield","661","Cocoa, beans","1989","1989","hg/ha","3896"
"QC","Crops","5101","Eastern Africa","5419","Yield","661","Cocoa, beans","1990","1990","hg/ha","3314"
"QC","Crops","5101","Eastern Africa","5419","Yield","661","Cocoa, beans","1991","1991","hg/ha","3232"
"QC","Crops","5101","Eastern Africa","5419","Yield","661","Cocoa, beans","1992","1992","hg/ha","3824"
"QC","Crops","5101","Eastern Africa","5419","Yield","661","Cocoa, beans","1993","1993","hg/ha","4315"
"QC","Crops","5101","Eastern Africa","5419","Yield","661","Cocoa, beans","1994","1994","hg/ha","3235"
"QC","Crops","5101","Eastern Africa","5419","Yield","661","Cocoa, beans","1995","1995","hg/ha","4368"
"QC","Crops","5101","Eastern Africa","5419","Yield","661","Cocoa, beans","1996","1996","hg/ha","4406"
"QC","Crops","5101","Eastern Africa","5419","Yield","661","Cocoa, beans","1997","1997","hg/ha","4628"
"QC","Crops","5101","Eastern Africa","5419","Yield","661","Cocoa, beans","1998","1998","hg/ha","4620"
"QC","Crops","5101","Eastern Africa","5419","Yield","661","Cocoa, beans","1999","1999","hg/ha","4987"
"QC","Crops","5101","Eastern Africa","5419","Yield","661","Cocoa, beans","2000","2000","hg/ha","4878"
"QC","Crops","5101","Eastern Africa","5419","Yield","661","Cocoa, beans","2001","2001","hg/ha","4806"
"QC","Crops","5101","Eastern Africa","5419","Yield","661","Cocoa, beans","2002","2002","hg/ha","4840"
"QC","Crops","5101","Eastern Africa","5419","Yield","661","Cocoa, beans","2003","2003","hg/ha","5005"
"QC","Crops","5101","Eastern Africa","5419","Yield","661","Cocoa, beans","2004","2004","hg/ha","5190"
"QC","Crops","5101","Eastern Africa","5419","Yield","661","Cocoa, beans","2005","2005","hg/ha","5492"
"QC","Crops","5101","Eastern Africa","5419","Yield","661","Cocoa, beans","2006","2006","hg/ha","5135"
"QC","Crops","5101","Eastern Africa","5419","Yield","661","Cocoa, beans","2007","2007","hg/ha","4910"
"QC","Crops","5101","Eastern Africa","5419","Yield","661","Cocoa, beans","2008","2008","hg/ha","4851"
"QC","Crops","5101","Eastern Africa","5419","Yield","661","Cocoa, beans","2009","2009","hg/ha","4892"
"QC","Crops","5101","Eastern Africa","5419","Yield","661","Cocoa, beans","2010","2010","hg/ha","5123"
"QC","Crops","5101","Eastern Africa","5419","Yield","661","Cocoa, beans","2011","2011","hg/ha","4835"
"QC","Crops","5101","Eastern Africa","5419","Yield","661","Cocoa, beans","2012","2012","hg/ha","5115"
