"Item Group Code","Item Group","Item Code","Item","Factor","HS Code","HS07 Code","HS12 Code","CPC Code"
"1817","Cereals (Rice Milled Eqv)","44","Barley","1","","100300","100310, 100390","0115"
"1817","Cereals (Rice Milled Eqv)","89","Buckwheat","1","","100810","100810","01192"
"1817","Cereals (Rice Milled Eqv)","101","Canary seed","1","","100830","100830","01195"
"1817","Cereals (Rice Milled Eqv)","108","Cereals nes","1","","100890","100890","01199.90"
"1817","Cereals (Rice Milled Eqv)","94","Fonio","1","","100890","100840","01193"
"1817","Cereals (Rice Milled Eqv)","103","Grain, mixed","1","","100890","100890","01199.02"
"1817","Cereals (Rice Milled Eqv)","56","Maize","1","","100510, 100590","100510, 100590","0112"
"1817","Cereals (Rice Milled Eqv)","79","Millet","1","","100820","100821, 100829","0118"
"1817","Cereals (Rice Milled Eqv)","75","Oats","1","","100400","100410, 100490","0117"
"1817","Cereals (Rice Milled Eqv)","92","Quinoa","1","","100890","100850","01194"
"1817","Cereals (Rice Milled Eqv)","27","Rice, paddy","1","","100610","100610","0113"
"1817","Cereals (Rice Milled Eqv)","71","Rye","1","","100200","100210, 100290","0116"
"1817","Cereals (Rice Milled Eqv)","83","Sorghum","1","","100700","100710, 100790","0114"
"1817","Cereals (Rice Milled Eqv)","97","Triticale","1","","100890","100860","01191"
"1817","Cereals (Rice Milled Eqv)","15","Wheat","1","","100110, 100190","100111, 100119, 100191, 100199","0111"
"1717","Cereals, Total","44","Barley","1","","100300","100310, 100390","0115"
"1717","Cereals, Total","89","Buckwheat","1","","100810","100810","01192"
"1717","Cereals, Total","101","Canary seed","1","","100830","100830","01195"
"1717","Cereals, Total","108","Cereals nes","1","","100890","100890","01199.90"
"1717","Cereals, Total","94","Fonio","1","","100890","100840","01193"
"1717","Cereals, Total","103","Grain, mixed","1","","100890","100890","01199.02"
"1717","Cereals, Total","56","Maize","1","","100510, 100590","100510, 100590","0112"
"1717","Cereals, Total","79","Millet","1","","100820","100821, 100829","0118"
"1717","Cereals, Total","75","Oats","1","","100400","100410, 100490","0117"
"1717","Cereals, Total","92","Quinoa","1","","100890","100850","01194"
"1717","Cereals, Total","27","Rice, paddy","1","","100610","100610","0113"
"1717","Cereals, Total","71","Rye","1","","100200","100210, 100290","0116"
"1717","Cereals, Total","83","Sorghum","1","","100700","100710, 100790","0114"
"1717","Cereals, Total","97","Triticale","1","","100890","100860","01191"
"1717","Cereals, Total","15","Wheat","1","","100110, 100190","100111, 100119, 100191, 100199","0111"
"1804","Citrus Fruit, Total","512","Fruit, citrus nes","1","","080590","080590","01329"
"1804","Citrus Fruit, Total","507","Grapefruit (inc. pomelos)","1","","080540","080540","01321"
"1804","Citrus Fruit, Total","497","Lemons and limes","1","","080550","080550","01322"
"1804","Citrus Fruit, Total","490","Oranges","1","","080510","080510","01323"
"1804","Citrus Fruit, Total","495","Tangerines, mandarins, clementines, satsumas","1","","080520","080520","01324"
"1814","Coarse Grain, Total","44","Barley","1","","100300","100310, 100390","0115"
"1814","Coarse Grain, Total","89","Buckwheat","1","","100810","100810","01192"
"1814","Coarse Grain, Total","101","Canary seed","1","","100830","100830","01195"
"1814","Coarse Grain, Total","108","Cereals nes","1","","100890","100890","01199.90"
"1814","Coarse Grain, Total","94","Fonio","1","","100890","100840","01193"
"1814","Coarse Grain, Total","103","Grain, mixed","1","","100890","100890","01199.02"
"1814","Coarse Grain, Total","56","Maize","1","","100510, 100590","100510, 100590","0112"
"1814","Coarse Grain, Total","79","Millet","1","","100820","100821, 100829","0118"
"1814","Coarse Grain, Total","75","Oats","1","","100400","100410, 100490","0117"
"1814","Coarse Grain, Total","92","Quinoa","1","","100890","100850","01194"
"1814","Coarse Grain, Total","71","Rye","1","","100200","100210, 100290","0116"
"1814","Coarse Grain, Total","83","Sorghum","1","","100700","100710, 100790","0114"
"1814","Coarse Grain, Total","97","Triticale","1","","100890","100860","01191"
"1714","Crops Primary","800","Agave fibres nes","1","","530500","530500","01929.06"
"1714","Crops Primary","221","Almonds, with shell","1","","080211","080211","01371"
"1714","Crops Primary","711","Anise, badian, fennel, coriander","1","","090910, 090920, 090930, 090940, 090950","090921, 090922, 090931, 090932, 090961, 090962","01654"
"1714","Crops Primary","515","Apples","1","","080810","080810","01341"
"1714","Crops Primary","526","Apricots","1","","080910","080910","01343"
"1714","Crops Primary","226","Areca nuts","1","","080290","080280","01379.01"
"1714","Crops Primary","366","Artichokes","1","","070990","070991","01216"
"1714","Crops Primary","367","Asparagus","1","","070920","070920","01211"
"1714","Crops Primary","572","Avocados","1","","080440","080440","01311"
"1714","Crops Primary","203","Bambara beans","1","","071339","071334","01708"
"1714","Crops Primary","486","Bananas","1","","080300","080390","01312"
"1714","Crops Primary","44","Barley","1","","100300","100310, 100390","0115"
"1714","Crops Primary","782","Bastfibres, other","1","","530310, 530390","530310, 530390","01922.02"
"1714","Crops Primary","176","Beans, dry","1","","071331, 071332, 071333, 071339","071331, 071332, 071333, 071339","01701"
"1714","Crops Primary","414","Beans, green","1","","070820","070820","01241.90"
"1714","Crops Primary","558","Berries nes","1","","081020, 081040","081020, 081040","01355.90"
"1714","Crops Primary","552","Blueberries","1","","081040","081040","01355.01"
"1714","Crops Primary","216","Brazil nuts, with shell","1","","080121","080121","01377"
"1714","Crops Primary","181","Broad beans, horse beans, dry","1","","071350","071350","01702"
"1714","Crops Primary","89","Buckwheat","1","","100810","100810","01192"
"1714","Crops Primary","358","Cabbages and other brassicas","1","","070420, 070490","070420, 070490","01212"
"1714","Crops Primary","101","Canary seed","1","","100830","100830","01195"
"1714","Crops Primary","461","Carobs","1","","121299","121292","01356"
"1714","Crops Primary","426","Carrots and turnips","1","","070610","070610","01251"
"1714","Crops Primary","217","Cashew nuts, with shell","1","","080131","080131","01372"
"1714","Crops Primary","591","Cashewapple","1","","081090","081090","01359.02"
"1714","Crops Primary","125","Cassava","1","","071410","071410","01520.01"
"1714","Crops Primary","265","Castor oil seed","1","","120799","120730","01447"
"1714","Crops Primary","393","Cauliflowers and broccoli","1","","070410","070410","01213"
"1714","Crops Primary","108","Cereals nes","1","","100890","100890","01199.90"
"1714","Crops Primary","531","Cherries","1","","080920","080929","01344.02"
"1714","Crops Primary","530","Cherries, sour","1","","080920","080921","01344.01"
"1714","Crops Primary","220","Chestnut","1","","080240","080241, 080242","01373"
"1714","Crops Primary","191","Chick peas","1","","071320","071320","01703"
"1714","Crops Primary","459","Chicory roots","1","","121299","121294","01691"
"1714","Crops Primary","689","Chillies and peppers, dry","1","","090420","090421, 090422","01652"
"1714","Crops Primary","401","Chillies and peppers, green","1","","070960","070960","01231"
"1714","Crops Primary","693","Cinnamon (cannella)","1","","090611, 090619, 090620","090611, 090619, 090620","01655"
"1714","Crops Primary","698","Cloves","1","","090700","090710, 090720","01656"
"1714","Crops Primary","661","Cocoa, beans","1","","180100","180100","01640"
"1714","Crops Primary","249","Coconuts","1","","080119","080112, 080119","01460"
"1714","Crops Primary","656","Coffee, green","1","","090111","090111","01610"
"1714","Crops Primary","195","Cow peas, dry","1","","071339","071335","01706"
"1714","Crops Primary","554","Cranberries","1","","081040","081040","01355.02"
"1714","Crops Primary","397","Cucumbers and gherkins","1","","070700","070700","01232"
"1714","Crops Primary","550","Currants","1","","081090","081030","01351.01"
"1714","Crops Primary","577","Dates","1","","080410","080410","01314"
"1714","Crops Primary","399","Eggplants (aubergines)","1","","070930","070930","01233"
"1714","Crops Primary","821","Fibre crops nes","1","","530500","530500","01929.90"
"1714","Crops Primary","569","Figs","1","","080420","080420","01315"
"1714","Crops Primary","773","Flax fibre and tow","1","","530121, 530129","530121, 530129","26190.01"
"1714","Crops Primary","94","Fonio","1","","100890","100840","01193"
"1714","Crops Primary","512","Fruit, citrus nes","1","","080590","080590","01329"
"1714","Crops Primary","619","Fruit, fresh nes","1","","081090","081090","01359.90"
"1714","Crops Primary","542","Fruit, pome nes","1","","081090","081090","01349.10"
"1714","Crops Primary","541","Fruit, stone nes","1","","081090","081090","01349.20"
"1714","Crops Primary","603","Fruit, tropical fresh nes","1","","080450, 081060, 081090","080450, 081060, 081090","01319"
"1714","Crops Primary","406","Garlic","1","","070320","070320","01252"
"1714","Crops Primary","720","Ginger","1","","091010","091011, 091012","01657"
"1714","Crops Primary","549","Gooseberries","1","","081090","081030","01351.02"
"1714","Crops Primary","103","Grain, mixed","1","","100890","100890","01199.02"
"1714","Crops Primary","507","Grapefruit (inc. pomelos)","1","","080540","080540","01321"
"1714","Crops Primary","560","Grapes","1","","080610","080610","01330"
"1714","Crops Primary","242","Groundnuts, with shell","1","","120210, 120220","120230, 120241","0142"
"1714","Crops Primary","839","Gums, natural","1","","400130","400130","03211"
"1714","Crops Primary","225","Hazelnuts, with shell","1","","080221","080221","01374"
"1714","Crops Primary","777","Hemp tow waste","1","","530210, 530290","530210, 530290","01929.02"
"1714","Crops Primary","336","Hempseed","1","","120799","120799","01449.02"
"1714","Crops Primary","677","Hops","1","","121010, 121020","121010, 121020","01659"
"1714","Crops Primary","277","Jojoba seed","1","","120799","120799","01499.03"
"1714","Crops Primary","780","Jute","1","","530310, 530390","530310, 530390","01922.01"
"1714","Crops Primary","310","Kapok fruit","1","","120799","120799","01499.05"
"1714","Crops Primary","263","Karite nuts (sheanuts)","1","","120799","120799","01499.01"
"1714","Crops Primary","592","Kiwi fruit","1","","081050","081050","01352"
"1714","Crops Primary","224","Kola nuts","1","","080290","080270","01379.02"
"1714","Crops Primary","407","Leeks, other alliaceous vegetables","1","","070390","070390","01254"
"1714","Crops Primary","497","Lemons and limes","1","","080550","080550","01322"
"1714","Crops Primary","201","Lentils","1","","071340","071340","01704"
"1714","Crops Primary","372","Lettuce and chicory","1","","070511, 070519, 070521, 070529","070511, 070519, 070521, 070529","01214"
"1714","Crops Primary","333","Linseed","1","","120400","120400","01441"
"1714","Crops Primary","210","Lupins","1","","121490","121490","01709.02"
"1714","Crops Primary","56","Maize","1","","100510, 100590","100510, 100590","0112"
"1714","Crops Primary","446","Maize, green","1","","070990","070999","01290.01"
"1714","Crops Primary","571","Mangoes, mangosteens, guavas","1","","080450","080450","01316"
"1714","Crops Primary","809","Manila fibre (abaca)","1","","530500","530500","01929.07"
"1714","Crops Primary","671","Maté","1","","090300","090300","01630"
"1714","Crops Primary","568","Melons, other (inc.cantaloupes)","1","","080719","080719","01229"
"1714","Crops Primary","299","Melonseed","1","","120799","120770","01449.01"
"1714","Crops Primary","79","Millet","1","","100820","100821, 100829","0118"
"1714","Crops Primary","449","Mushrooms and truffles","1","","070951, 070959","070951, 070959","01270"
"1714","Crops Primary","292","Mustard seed","1","","120750","120750","01442"
"1714","Crops Primary","702","Nutmeg, mace and cardamoms","1","","090810, 090820, 090830","090811, 090812, 090821, 090822, 090831, 090832","01653"
"1714","Crops Primary","234","Nuts nes","1","","080260, 080290","080261, 080262, 080290","01379.90"
"1714","Crops Primary","75","Oats","1","","100400","100410, 100490","0117"
"1714","Crops Primary","254","Oil palm fruit","1","","120799","120710","01491.01"
"1714","Crops Primary","339","Oilseeds nes","1","","120799","120799","01449.90"
"1714","Crops Primary","430","Okra","1","","070990","070999","01239.01"
"1714","Crops Primary","260","Olives","1","","070990","070992","01450"
"1714","Crops Primary","403","Onions, dry","1","","070310","070310","01253.02"
"1714","Crops Primary","402","Onions, shallots, green","1","","070310","070310","01253.01"
"1714","Crops Primary","490","Oranges","1","","080510","080510","01323"
"1714","Crops Primary","600","Papayas","1","","080720","080720","01317"
"1714","Crops Primary","534","Peaches and nectarines","1","","080930","080930","01345"
"1714","Crops Primary","521","Pears","1","","080820","080830","01342.01"
"1714","Crops Primary","187","Peas, dry","1","","071310","071310","01705"
"1714","Crops Primary","417","Peas, green","1","","070810","070810","01242"
"1714","Crops Primary","687","Pepper (piper spp.)","1","","090411, 090412","090411, 090412","01651"
"1714","Crops Primary","748","Peppermint","1","","121190","121190","01930.01"
"1714","Crops Primary","587","Persimmons","1","","081090","081070","01359.01"
"1714","Crops Primary","197","Pigeon peas","1","","071390","071360","01707"
"1714","Crops Primary","574","Pineapples","1","","080430","080430","01318"
"1714","Crops Primary","223","Pistachios","1","","080250","080251, 080252","01375"
"1714","Crops Primary","489","Plantains and others","1","","080300","080310","01313"
"1714","Crops Primary","536","Plums and sloes","1","","080940","080940","01346"
"1714","Crops Primary","296","Poppy seed","1","","120791","120791","01448"
"1714","Crops Primary","116","Potatoes","1","","070110, 070190","070110, 070190","01510"
"1714","Crops Primary","211","Pulses nes","1","","071390","071390","01709.90"
"1714","Crops Primary","394","Pumpkins, squash and gourds","1","","070990","070993","01235"
"1714","Crops Primary","754","Pyrethrum, dried","1","","121190","121190","01930.02"
"1714","Crops Primary","523","Quinces","1","","080820","080840","01342.02"
"1714","Crops Primary","92","Quinoa","1","","100890","100850","01194"
"1714","Crops Primary","788","Ramie","1","","530500","530500","01929.04"
"1714","Crops Primary","270","Rapeseed","1","","120510, 120590","120510, 120590","01443"
"1714","Crops Primary","547","Raspberries","1","","081020","081020","01353.01"
"1714","Crops Primary","27","Rice, paddy","1","","100610","100610","0113"
"1714","Crops Primary","149","Roots and tubers nes","1","","071490","071490","01599.10"
"1714","Crops Primary","836","Rubber, natural","1","","400110","400110","01950.01"
"1714","Crops Primary","71","Rye","1","","100200","100210, 100290","0116"
"1714","Crops Primary","280","Safflower seed","1","","120799","120760","01446"
"1714","Crops Primary","328","Seed cotton","1","","520100","520100","01921.01"
"1714","Crops Primary","289","Sesame seed","1","","120740","120740","01444"
