Domain Code,Domain,Country Code,Country,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balance Sheets","5000","World","664","Food supply (kcal/capita/day)","2901","Grand Total","1961","1961","kcal/capita/day","2196","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","664","Food supply (kcal/capita/day)","2901","Grand Total","1962","1962","kcal/capita/day","2243","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","664","Food supply (kcal/capita/day)","2901","Grand Total","1963","1963","kcal/capita/day","2254","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","664","Food supply (kcal/capita/day)","2901","Grand Total","1964","1964","kcal/capita/day","2287","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","664","Food supply (kcal/capita/day)","2901","Grand Total","1965","1965","kcal/capita/day","2310","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","664","Food supply (kcal/capita/day)","2901","Grand Total","1966","1966","kcal/capita/day","2327","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","664","Food supply (kcal/capita/day)","2901","Grand Total","1967","1967","kcal/capita/day","2330","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","664","Food supply (kcal/capita/day)","2901","Grand Total","1968","1968","kcal/capita/day","2334","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","664","Food supply (kcal/capita/day)","2901","Grand Total","1969","1969","kcal/capita/day","2343","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","664","Food supply (kcal/capita/day)","2901","Grand Total","1970","1970","kcal/capita/day","2389","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","664","Food supply (kcal/capita/day)","2901","Grand Total","1971","1971","kcal/capita/day","2365","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","664","Food supply (kcal/capita/day)","2901","Grand Total","1972","1972","kcal/capita/day","2352","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","664","Food supply (kcal/capita/day)","2901","Grand Total","1973","1973","kcal/capita/day","2389","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","664","Food supply (kcal/capita/day)","2901","Grand Total","1974","1974","kcal/capita/day","2381","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","664","Food supply (kcal/capita/day)","2901","Grand Total","1975","1975","kcal/capita/day","2396","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","664","Food supply (kcal/capita/day)","2901","Grand Total","1976","1976","kcal/capita/day","2389","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","664","Food supply (kcal/capita/day)","2901","Grand Total","1977","1977","kcal/capita/day","2418","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","664","Food supply (kcal/capita/day)","2901","Grand Total","1978","1978","kcal/capita/day","2477","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","664","Food supply (kcal/capita/day)","2901","Grand Total","1979","1979","kcal/capita/day","2476","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","664","Food supply (kcal/capita/day)","2901","Grand Total","1980","1980","kcal/capita/day","2490","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","664","Food supply (kcal/capita/day)","2901","Grand Total","1981","1981","kcal/capita/day","2501","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","664","Food supply (kcal/capita/day)","2901","Grand Total","1982","1982","kcal/capita/day","2531","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","664","Food supply (kcal/capita/day)","2901","Grand Total","1983","1983","kcal/capita/day","2575","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","664","Food supply (kcal/capita/day)","2901","Grand Total","1984","1984","kcal/capita/day","2584","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","664","Food supply (kcal/capita/day)","2901","Grand Total","1985","1985","kcal/capita/day","2587","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","664","Food supply (kcal/capita/day)","2901","Grand Total","1986","1986","kcal/capita/day","2589","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","664","Food supply (kcal/capita/day)","2901","Grand Total","1987","1987","kcal/capita/day","2607","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","664","Food supply (kcal/capita/day)","2901","Grand Total","1988","1988","kcal/capita/day","2624","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","664","Food supply (kcal/capita/day)","2901","Grand Total","1989","1989","kcal/capita/day","2635","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","664","Food supply (kcal/capita/day)","2901","Grand Total","1990","1990","kcal/capita/day","2621","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","664","Food supply (kcal/capita/day)","2901","Grand Total","1991","1991","kcal/capita/day","2601","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","664","Food supply (kcal/capita/day)","2901","Grand Total","1992","1992","kcal/capita/day","2610","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","664","Food supply (kcal/capita/day)","2901","Grand Total","1993","1993","kcal/capita/day","2616","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","664","Food supply (kcal/capita/day)","2901","Grand Total","1994","1994","kcal/capita/day","2639","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","664","Food supply (kcal/capita/day)","2901","Grand Total","1995","1995","kcal/capita/day","2663","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","664","Food supply (kcal/capita/day)","2901","Grand Total","1996","1996","kcal/capita/day","2673","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","664","Food supply (kcal/capita/day)","2901","Grand Total","1997","1997","kcal/capita/day","2687","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","664","Food supply (kcal/capita/day)","2901","Grand Total","1998","1998","kcal/capita/day","2701","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","664","Food supply (kcal/capita/day)","2901","Grand Total","1999","1999","kcal/capita/day","2715","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","664","Food supply (kcal/capita/day)","2901","Grand Total","2000","2000","kcal/capita/day","2727","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","664","Food supply (kcal/capita/day)","2901","Grand Total","2001","2001","kcal/capita/day","2725","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","664","Food supply (kcal/capita/day)","2901","Grand Total","2002","2002","kcal/capita/day","2728","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","664","Food supply (kcal/capita/day)","2901","Grand Total","2003","2003","kcal/capita/day","2735","Fc","Calculated data"
