"Item Group Code","Item Group","Item Code","Item","HS Code","HS07 Code","HS12 Code","CPC Code"
"2924","Alcoholic Beverages","2659","Alcohol, Non-Food","","","",""
"2924","Alcoholic Beverages","2656","Beer","","","",""
"2924","Alcoholic Beverages","2658","Beverages, Alcoholic","","","",""
"2924","Alcoholic Beverages","2657","Beverages, Fermented","","","",""
"2924","Alcoholic Beverages","2655","Wine","","","",""
"2946","Animal fats","2740","Butter, Ghee","","","",""
"2946","Animal fats","2743","Cream","","","",""
"2946","Animal fats","2737","Fats, Animals, Raw","","","",""
"2946","Animal fats","2781","Fish, Body Oil","","","",""
"2946","Animal fats","2782","Fish, Liver Oil","","","",""
"2941","Animal Products","2769","Aquatic Animals, Others","","","",""
"2941","Animal Products","2775","Aquatic Plants","","","",""
"2941","Animal Products","2731","Bovine Meat","","","",""
"2941","Animal Products","2740","Butter, Ghee","","","",""
"2941","Animal Products","2766","Cephalopods","","","",""
"2941","Animal Products","2743","Cream","","","",""
"2941","Animal Products","2765","Crustaceans","","","",""
"2941","Animal Products","2762","Demersal Fish","","","",""
"2941","Animal Products","2744","Eggs","","","",""
"2941","Animal Products","2737","Fats, Animals, Raw","","","",""
"2941","Animal Products","2781","Fish, Body Oil","","","",""
"2941","Animal Products","2782","Fish, Liver Oil","","","",""
"2941","Animal Products","2761","Freshwater Fish","","","",""
"2941","Animal Products","2764","Marine Fish, Other","","","",""
"2941","Animal Products","2768","Meat, Aquatic Mammals","","","",""
"2941","Animal Products","2735","Meat, Other","","","",""
"2941","Animal Products","2848","Milk - Excluding Butter","","","",""
"2941","Animal Products","2767","Molluscs, Other","","","",""
"2941","Animal Products","2732","Mutton & Goat Meat","","","",""
"2941","Animal Products","2736","Offals, Edible","","","",""
"2941","Animal Products","2763","Pelagic Fish","","","",""
"2941","Animal Products","2733","Pigmeat","","","",""
"2941","Animal Products","2734","Poultry Meat","","","",""
"2961","Aquatic Products, Other","2769","Aquatic Animals, Others","","","",""
"2961","Aquatic Products, Other","2775","Aquatic Plants","","","",""
"2961","Aquatic Products, Other","2768","Meat, Aquatic Mammals","","","",""
