,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
DJIBOUTI,17118.57506317721,16992.73898729293,16868.131641320022,16741.02066305222,16615.26273085461,16490.825959877642,16367.679536662714,16245.841077398598,16117.070632484587,15989.759892033486,15863.87342159559,15739.376993442847,15616.25869819214,15484.170345886148,15356.438773311558,15230.508594211713,15106.162220053835,14983.122695817397,14852.771669394779,14724.377731060298,14598.001014707419,14473.168449381403,14349.758071711676,14219.415670201528,14091.336166908235,13967.102856462783,13844.218183382236,13723.364108499896,13594.806994907778,13467.895075852932,13342.430883016315,13218.382877246908,13095.721544259688,12963.878493713644,12833.853880651946,12705.84170307944,12579.461448923359,12454.561916825623
ETHIOPIA,217627.44318596835,219251.02830947572,220872.18889872366,222437.12536611472,224000.2010058672,225561.5013075316,227121.1092291904,228679.79719994776,230117.1102481447,231552.94267672597,232987.36125269762,234420.4304190247,235852.6298545092,237122.7455525841,238440.21067215403,239762.0454232016,241085.24705736374,242405.6156413001,243578.08228450158,244755.2484830774,245940.54043765663,247126.0695903818,248310.07761529667,249343.65824061856,250392.1175009803,251494.80982388076,252594.755661464,253705.4181421276,254643.16274270593,255580.76059193336,256515.59321861248,257447.66548875227,258377.0043754051,259091.02542568595,259805.34413429906,260525.90176185995,261245.773388073,261962.53048976304
KENYA,469763.86032945575,473524.0014452449,477293.1048082918,480949.1376815873,484615.8120448976,488293.5228565431,491982.6594460271,495685.24875512306,499126.33530573145,502579.52324469946,506045.16239981155,509523.59765096597,513015.75836122036,516156.7114239724,519422.2315438904,522713.62041087105,526024.0215564095,529344.9924043681,532357.5405295443,535399.8566206674,538474.3745028196,541565.815463532,544671.1824435631,547458.9418901844,550288.2892687707,553226.5657363496,556175.8589589553,559169.1628426056,561798.597838135,564443.0040937434,567098.1065718174,569764.0877770259,572441.1724476628,574650.7743682187,576876.8618471023,579134.6849442685,581407.4065909652,583689.8788353631
MADAGASCAR,1032129.7800177253,1040679.3447481204,1049254.5780467826,1057587.1403595197,1065948.1413317127,1074338.2939523046,1082758.300677994,1091212.4048879165,1099098.5689111128,1107015.086979209,1114962.5815890436,1122941.6659018937,1130954.1792091292,1138196.1656292733,1145720.4223820632,1153305.3480116986,1160935.5416385282,1168590.8674167078,1175559.0153208382,1182591.594644316,1189697.8355937991,1196842.6956576789,1204018.9370997096,1210488.4073004727,1217062.4524268585,1223920.4280005742,1230802.8609002505,1237779.0204734763,1243943.0888505105,1250139.7558264418,1256359.0713002717,1262601.3163309365,1268866.866666712,1274094.6746750504,1279356.3160168852,1284685.6327961502,1290045.5232624786,1295424.4400649995
MALAWI,30209.881966884343,30345.39443147665,30479.339057630325,30604.23973994105,30727.70650241934,30849.746717504753,30970.36729207889,31089.67081459549,31191.060295623316,31291.156601274644,31389.964203068095,31487.48718317666,31583.763025857195,31656.885137043435,31735.5011518512,31813.71766712116,31891.11582553443,31967.112726618307,32022.405181027047,32077.434075284236,32132.50747819068,32186.65274766481,32239.661090891834,32271.9905339616,32305.421029034398,32345.02087987951,32383.35477821751,32422.088316126043,32437.698043490822,32452.47599237665,32466.099158287892,32478.567460333295,32489.883202107423,32473.23827080376,32456.01950458191,32438.995292197837,32421.231356361426,32402.428410934757
MAURITIUS,310.31813385472606,312.2480243196692,314.1713125414825,316.00564217562146,317.83441744692095,319.6577899768691,321.4759057432421,323.28997027086365,324.92050963718435,326.54648006613786,328.1680038777847,329.7851982995207,331.3985973174602,332.7726438566877,334.21675852159683,335.6652895018049,337.11357622101764,338.5558849733188,339.78715676912657,341.02504802077897,342.27150469941637,343.5164546962156,344.7578016553948,345.78537593418764,346.82902175309846,347.9344282727095,349.0345288443002,350.14971384306875,351.02451740014124,351.897212658354,352.7649687288814,353.6278187956217,354.48582225781274,355.0435016254861,355.6005722395421,356.16678644517685,356.7313532746544,357.2910164246251
MOZAMBIQUE,1074759.8452506813,1081157.850259548,1087526.1008561237,1093595.4903377993,1099639.3113979362,1105657.9486671945,1111651.7712141643,1117624.6612298046,1122975.610761458,1128304.8370532773,1133612.621141562,1138899.2307044433,1144166.1740046125,1148616.1185253821,1153289.5663302962,1157972.537910435,1162649.904860359,1167301.0432375951,1171221.691833864,1175156.7917255035,1179115.88789592,1183064.1746241185,1186994.343514214,1190186.5612830897,1193436.4004632023,1196920.725636081,1200381.2345155806,1203882.13537468,1206548.4558498545,1209204.171680625,1211837.7769395926,1214449.3058164935,1217038.8822189807,1218599.766772951,1220156.653532116,1221740.610832032,1223314.9479281676,1224868.3100444502
RWANDA,6484.281922494213,6529.544998842364,6574.7585377489595,6618.258559931851,6661.732885080106,6705.186698402822,6748.625093464091,6792.075026486863,6831.846474914831,6871.617836822351,6911.393642447994,6951.178340039014,6990.988148745178,7025.950151073558,7062.403334366625,7099.041616587311,7135.77447123166,7172.489218655731,7204.911559725093,7237.574310134005,7270.534872088646,7303.575206196947,7336.650650796989,7365.354990197459,7394.483252362266,7424.952433187652,7455.426724967247,7486.3490560023565,7512.289968018742,7538.307974112072,7564.339697433813,7590.387439103736,7616.454131595278,7636.228291000057,7656.1088905795605,7676.293983204568,7696.564897862766,7716.852244167783
UGANDA,87053.63891121393,87789.08219706954,88526.43827098129,89243.2490633505,89962.23914089506,90683.47655495275,91407.02849503601,92133.26079065693,92811.64474146205,93492.41206864592,94175.62323400615,94861.33793411926,95549.73875981547,96173.43584929996,96820.21954396622,97471.89361503585,98127.19842493851,98784.52221009797,99384.32649494093,99989.54073409767,100600.86410512519,101215.36454802302,101832.44972311136,102390.2707624097,102956.23361551962,103543.98599105544,104133.76473097235,104731.59727513249,105261.15758586109,105793.49828627695,106327.75612056404,106863.96167569429,107402.15388055853,107852.83552421974,108306.46739754727,108765.88578297163,109227.9522973129,109691.69053232954
UNITEDREPUBLICOFTANZANIA,429225.33362717845,432785.72442856175,436355.13050047087,439823.2837244329,443301.74526844156,446790.8168408747,450290.7956865123,453803.44222995994,457079.7288292802,460367.2414477468,463666.24390804843,466976.9960710935,470300.29711036565,473303.59415108326,476420.78195563675,479561.61276795284,482719.8149575094,485887.2405362852,488769.7570636556,491678.0109290771,494615.6088758872,497568.06794405455,500532.42557289934,503203.5059616361,505915.2646405029,508738.23523011163,511570.2598916554,514440.3129449997,516973.0042927853,519518.397274229,522072.230133677,524634.6233217851,527205.7367244214,529345.6358203704,531499.0400577564,533679.5118175413,535871.9037991348,538071.426456732
